strategy_id,name,hypothesis,status,tested_date,OOS_Sharpe,net_Sharpe,max_drawdown,turnover,effective_sample_size,regime_robustness,reason_alive,reason_killed,evidence
UP-BH0,Fixed asset0 buy and hold,Predefined single asset reference,RESEARCH,2026-09-06,,,,,,Synthetic only,Benchmark not admitted alpha,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-EWBH,Equal weight buy and hold,Same universe static comparator,RESEARCH,2026-09-06,,,,,,Synthetic only,Benchmark not admitted alpha,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-CRPD,Daily CRP,Relative fluctuation may reward rebalancing,RESEARCH,2026-09-06,,,,,,Fails crisis and permanent loser,Conditional mechanism worth testing,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-CRP5,Five-session CRP,Lower turnover comparison,RESEARCH,2026-09-06,,,,,,Synthetic only,Frequency control not real calendar,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-CRP21,Twenty-one-session CRP,Lower turnover comparison,RESEARCH,2026-09-06,,,,,,Synthetic only,Frequency control not real calendar,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-BCRP,BCRP gross ex-post oracle,Hindsight constant-weight benchmark,RESEARCH,2026-09-06,,,,,,Not tradable,Comparator only never an online strategy,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-GRID,Finite-grid universal portfolio,Causal expert wealth mixture,RESEARCH,2026-09-06,,,,,,Severe permanent-loser loss,Math identities pass but real edge unproven,,research/experiments/up-0001-synthetic-rejection/result-v2.json
UP-CLAIM-001,Positive diversity implies profit,Universal positive-profit implication,REJECT,2026-09-06,,,,,,Counterexamples found,,Positive Jensen term can coexist with severe loss,research/graveyard/UP-CLAIM-001-positive-diversification-implies-profit.json
UP-0002,Net virtual expert scoring,Cost-aware scores improve allocator net growth and tails,REJECT,2026-09-06,,,,,,Mixed synthetic worlds,,Locked noninferiority screen failed; not statistical proof of no effect,research/experiments/up-0002-net-expert-scoring/result-v1.json
UP-CN-0001,Huatai mainland monthly finite UP,Incremental net value versus equal monthly and buy hold,RESEARCH,2026-09-07,,,,,,Mixed four reused calendar years,Research only; no stable incremental value or clean OOS established,,research/experiments/up-cn-0001-monthly-comparison/result-v1.json
CN-VALUE-0001,Existing momentum versus independent equal-vol control,Net selection value with causal separate risk control,RESEARCH,2026-09-07,,,,,,Four reused years and fee sensitivity,Historical increment sensitive to execution costs; no clean OOS or capital approval,,research/experiments/cn-value-0001/result-v1.json
CN-NO-TRADE-0001,Cost-aware no-trade band,Suppress small drift-only rebalances to improve net executable value,RESEARCH,2026-09-12,,,,,,Three of four reused years improve in each cost scenario,Small descriptive increment; 2023 worsens; zero clean OOS; four explicit variants; no capital approval,,research/experiments/cn-no-trade-0001/result-v1.json
CN-FEES-0001,User-confirmed commission repricing,Unchanged strategies at 0.0002 commission and CNY 5 floor,RESEARCH,2026-09-13,,,,,,Four reused years and two slippage scenarios,Model beats monthly equal weight in two of four years; no-trade increment only CNY 103.20 across four independent annual accounts at 30bps; no promotion,,research/experiments/cn-fees-0001/REPORT.zh-CN.md
CN-DELAY-0001,Same-day close execution diagnostic,Fixed prior-close decisions with ex-post close fills versus open fills,RESEARCH,2026-09-13,,,,,,Four reused years and two cost scenarios,Three profitable years remain positive but worsen; no intraday timing certification; minute requests failed; no capital promotion,,research/experiments/cn-delay-0001/REPORT.zh-CN.md
CN-MINUTE-0001,Recent minute coverage and label-price drift,Measure observable recent price drift before claiming manual execution costs,RESEARCH,2026-09-14,,,,,,Eight common market days across five risk ETFs,Recent bars acquired and cross-source latest prices agree; label moves not fills; no alpha or capital claim,,research/experiments/cn-minute-0001/result-v1.json
EG-0001,Exponentiated gradient synthetic baseline,Causal multiplicative gradient weights under existing synthetic costs,RESEARCH,2026-09-15,,,,,,Seven synthetic worlds with three fixed learning rates,Missing requested online baseline implemented; real edge unproven,Unconstrained survival claim contradicted by permanent-loser scenario,research/experiments/eg-0001/result-v1.json
EG-0002,Volatility-conditioned EG,Separate causal state memory improves paired net growth,REJECT,2026-09-15,,,,,,Seven synthetic worlds and fixed threshold,,Negative increment in high-volatility low-correlation worlds; no cure for permanent loser,research/experiments/eg-0002/result-v1.json
META-SLEEVE-0001,Wealth weighted strategy sleeve identity,Causal wealth mixture equals initial equal funded sleeves,RESEARCH,2026-09-16,,,,,,Eight reused historical matrices,Identity verified not new timing edge,,research/experiments/meta-sleeve-0001/result-v1.json
META-SLEEVE-0002,Four budgeted strategy sleeves,Test actual smaller-budget execution versus linearly scaled accounts,RESEARCH,2026-09-16,,,,,,Four reused years with two slippage scenarios,32 paths cash audited; scales nonlinearly and beats equal monthly only two years; no promotion,,research/experiments/meta-sleeve-0002/scale-comparison-v1.json
